Parameter_set,chi2,ep_RAF_RAF_mod_RASstategtp_double_deltaG,bind_RASstategtp_RAF_kf,bind_RASstategtp_RAF_kD,bind_RASstategtp_RAF_phi,bind_RAF_RAF_kf,bind_RAF_RAF_kD,bind_RAF_RAF_phi,ep_RAF_RAF_mod_RAFi_single_deltaG,ep_RAF_RAF_mod_RAFi_double_deltaG,bind_RAFi_RAF_kf,bind_RAFi_RAF_kD,bind_RAFi_RAF_phi,bind_RAF_MEKphosphou_kf,bind_RAF_MEKphosphou_kD,bind_RAF_MEKphosphou_phi,catalyze_RAFrafiNone_MEK_p_kcat,bind_MEKi_MEK_kf,bind_MEKi_MEK_kD,bind_MEKi_MEK_phi,ep_MEKphosphop_MEKi_deltaG,bind_MEK_ERKphosphou_kf,bind_MEK_ERKphosphou_kD,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,bind_DUSP_ERKphosphop_kf,bind_DUSP_ERKphosphop_kD,DUSP_eq,synthesize_ERKphosphop_DUSP_ERK_gexpslope,synthesize_ERKphosphop_DUSP_kdeg,ep_EGFR_EGFR_mod_EGF_single_deltaG,ep_EGFR_EGFR_mod_EGF_double_deltaG,bind_EGF_EGFR_kf,bind_EGF_EGFR_kD,bind_EGF_EGFR_phi,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_kD,bind_EGFR_EGFR_phi,catalyze_GRB2_RTKSH2ANY_deg_kcat,EGFR_eq,synthesize_ERKphosphop_EGFR_ERK_gexpslope,synthesize_ERKphosphop_EGFR_kdeg,bind_RTK_GRB2_kf,bind_RTK_GRB2_kD,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_kD,SPRY_eq,synthesize_ERKphosphop_SPRY_ERK_gexpslope,synthesize_ERKphosphop_SPRY_kdeg,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_kD,catalyze_ERKphosphop_SOS1_pS1134_kbase,catalyze_ERKphosphop_SOS1_pS1134_kcat,ep_SOS1S1134p_GRB2_deltaG,bind_SOS1_RAS_kf,bind_SOS1_RAS_kD,catalyze_SOS1_RAS_gtp_kcat,catalyze_PP2A_MEK_u_kcatr,catalyze_DUSP_ERK_u_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,catalyze_NF1_RAS_gdp_kcatr,BRAF_0,CRAF_0,RAS_0,MEK_0,ERK_0,GRB2_0,SOS1_0,pMEK_IF_scale,pMEK_IF_offset,pERK_IF_scale,pERK_IF_offset
73,36.72565839,0.00016328,1000.002049,0.03780156,1,77507.65367,20.55554567,1,0.000647433,9999.984342,1002.034328,0.060292346,0,2335.924598,0.99819671,1,2490167.611,170841.3915,0.002451157,0,26.9802755,1318544.769,0.003163026,46408.13758,99991600.52,1.03E-05,2225.920607,0.1,0.008471061,0.000574791,24.3415377,2882.356534,0.029540193,1,31276.45554,2.060378968,1,122.6710832,8130.808827,0.943240295,0.097584581,17172.53341,0.033726876,1000.000599,0.000405892,0.313953895,11.3894224,0.011675721,50609516.7,0.000100117,0.01012472,1795543.165,9998.161555,9194.092102,0.007694751,1002.438205,0.000100117,0.046337501,0.009320837,0.002654579,1107.541657,12596.89386,45429.03483,63746.24976,62270.12249,44949.03268,6371.465708,59.20279357,0.022619234,3.973092425,0.075359971
74,36.77232478,0.00014079,1042.958145,0.025299516,1,434776.2076,50.63816738,1,0.00030183,255.6361981,1002.716866,0.059920061,0,4480.854377,0.442346046,1,3490553.831,74004.323,0.003047693,0,35.79976122,3951572.551,0.006908476,1489163.01,99799271.25,1.04E-05,2193.785391,0.1,0.003968554,0.000103162,437.3699188,2464806.326,0.043691797,1,435135.9247,2.685570267,1,6.323266268,7863.715267,0.971131251,0.072498765,1508581.196,0.022695767,2701016.393,0.001275454,1.626740653,11.02388718,0.002932854,8729.601723,0.000218676,0.033297536,1196.658307,9999.816025,96405097.9,0.48835372,1000.829366,0.000237539,0.005105793,0.009478634,0.007298416,1107.646731,12615.55525,45336.62638,64442.90506,61942.16204,45171.57361,6362.000663,99.99200574,0.054580676,3.879121656,0.078161783
75,36.81087416,0.0001,1956.039047,0.000245013,1,6441.338612,40.00483836,1,0.000816188,9999.771816,1031.41371,0.03280051,0,11790.36527,0.00019998,1,21994.01566,99999983.88,0.00010005,0,460.7607112,99999751.32,1.00E-05,18625.9709,27333371.24,0.000381715,1706.596655,0.266101596,0.316221519,0.007644209,0.004084235,5904825.937,0.000259249,1,479813.3751,258.1984317,1,4.041636025,8085.772539,0.768225449,0.016167035,11968359.61,0.005193683,2220401.387,0.002683218,9.956635306,7.701775231,0.001002509,415546.2811,0.000284298,0.425856598,249062.9111,98.42086327,2141.800127,0.034971915,17583.66941,0.006394471,0.901910162,0.011922878,0.002212523,1108.834781,12524.63332,45459.69316,60591.15205,78419.03614,45924.08161,6357.626204,7.82901671,0.148990566,3.933634189,0.099443713
76,37.03667641,0.000100009,98511531.31,0.001794508,1,6850.482007,369.0614808,1,0.000659819,2575.381668,24622692.42,0.000713804,0,99971458.93,0.00018237,1,56347329.74,1000,0.018104586,0,11.44010499,143414.2546,0.000161597,8063920.732,5993755.32,0.002556763,1946.917012,0.158058848,0.037856777,0.00121706,3676.356934,93601843,0.003376862,1,1003.067779,472.0250642,1,295.0943538,7871.802694,0.983973199,0.004769838,580805.8206,0.000100729,5918.509104,0.001772779,1.392040949,11.41702889,0.002111982,111000.6112,0.000149499,0.010006882,4055.603881,8018.853514,99619929.49,0.002822493,2905392.292,0.0001,7.51473581,0.009720172,0.000100059,1107.707382,12472.4916,45489.09744,67583.57016,61139.94729,44798.9732,6367.559474,1.002552836,0.183918591,3.825094597,0.080822228
77,37.12110008,0.000100992,6982.620836,0.060834395,1,356086.7386,5.713360922,1,0.002111678,1657.418339,30246.06422,0.096374252,0,280029.471,0.284143195,1,18358783.06,5782775.335,0.003937648,0,29.45130681,35971108.38,0.999639671,1781.694872,1550743.073,0.000151026,2093.312901,0.101880377,0.002388237,0.000221843,0.000793945,1287938.898,0.001476787,1,10065.31289,447.993198,1,998.422685,8224.590239,0.896580075,0.294870172,4966493.827,0.026323533,2992.27821,0.011621451,0.150514591,11.44295632,0.021963053,130414.1665,0.000689515,0.362037964,100408.1464,8477.975555,348993.9674,0.000134608,10221.85415,0.001375964,0.022780389,0.009207688,0.002149119,1108.491124,12542.97567,45444.12649,65780.08041,61903.83432,44825.46981,6364.550401,51.12373794,0.002944238,3.735988821,0.079071524
78,37.18472931,0.000138423,1081.300042,0.038842382,1,213160.2152,12.88935663,1,0.001082074,9999.605114,4228.711921,0.074367116,0,51441.92004,0.065765803,1,405355.1359,182978.208,0.005549928,0,22.99684034,24192818.09,0.000218399,31498.2786,11744157.04,0.000456654,2032.007048,0.100451179,0.310585402,0.000363548,0.000958477,21818749.69,0.008318505,1,3891352.112,155.0337636,1,71.34919048,7852.751058,0.798822668,0.002365337,864925.7563,0.002277548,4127.925019,0.001745691,4.397658893,8.313049375,0.009180476,3262206.209,0.000933885,0.041796223,446860.5956,127.620235,3331.236911,0.000931287,11735.00692,0.01391107,0.186422166,0.012094587,0.00019782,1108.336332,12544.57522,45452.44082,60100.2419,78757.07531,45528.29535,6367.231643,64.98485437,0.042622674,4.037182481,0.08872955
79,37.24604088,0.0001,18639573.03,0.028196779,1,1000.053836,3.675417053,1,0.003731995,206.5817633,111672.094,0.083949863,0,971321.2275,0.209459484,1,211582804.8,16071640.16,0.004062653,0,23.55036161,1000.004467,0.999556238,3706.564569,2303428.044,0.000155272,2073.837723,0.113241337,0.007886719,0.000139419,22.22731888,67094791.86,0.012444345,1,219638.0453,1.472015771,1,999.6932276,8258.068861,0.895488849,0.316227766,1150106.108,0.009900011,1447324.854,0.012833318,0.914433566,11.49617431,0.035893941,9345.236574,0.000612111,0.015631695,7850.288546,9990.476671,254379.7991,0.016797817,156939.2996,0.000798667,0.010807104,0.009176292,0.000140151,1108.441022,12548.9954,45464.33467,65717.41922,61962.74085,44793.59407,6366.408623,99.94389714,0.001370729,3.753413001,0.078874322
80,37.24771475,0.000100009,8231.448398,0.001041411,1,139829.5919,35.63059133,1,0.000477864,8776.467724,1003.424313,0.04942495,0,21335.83726,0.000261138,1,35475.48324,99907564.02,0.000155256,0,552.964168,99801672.65,1.01E-05,10207.54304,16921029.4,0.000118255,1979.17055,0.157595875,0.002650688,0.002947946,0.001881158,1090.080724,0.559504608,1,542201.2819,243.7908267,1,387.5167686,8583.730227,0.696639587,0.128447885,4041363.828,0.024050013,10732256.9,0.004218505,0.287276042,8.438822575,0.003463225,1211583.695,0.000165251,0.031117188,1492792.691,244.5912351,892530.1795,0.002276078,65350.72801,0.008521035,1.010232719,0.011305918,0.002137848,1109.049499,12502.32833,45312.33057,60065.75495,78457.47372,45565.80739,6361.266934,9.489900239,0.112528183,3.789665168,0.09456067
81,37.25337668,0.000100546,8996.390121,0.018415046,1,3320016.637,153.0924841,1,0.000252198,4535.161112,5632.296899,0.037379498,0,94311.11297,0.000100021,1,10014480.61,6236.810233,0.040933086,0,1.000038023,99204894.59,4.88E-05,106534.2714,12506889.13,0.000706907,1602.409312,0.28729131,0.312488688,0.000272616,14.3001881,12597718.22,0.01538635,1,13194.00396,1.040068845,1,15.42811971,7522.114849,0.833176744,0.002431865,402616.3247,0.216073237,142382.7511,0.000229005,8.741292001,5.69049302,0.001229598,13845386.06,0.001291749,0.014723761,5579.253955,173.9851853,24780484.88,0.018319513,1002.635437,0.00112824,0.097968457,0.012791854,0.030566023,1107.356221,12650.25558,45392.41301,59782.84241,80161.95495,46669.29389,6360.413636,69.52407189,0.145574406,4.198710943,0.082030736
82,37.31992476,0.000178285,1038.311968,0.022498784,1,9523063.495,75.69856382,1,0.0002774,170.2051474,3016.171764,0.049747991,0,63345.92905,0.000274386,1,8195556.525,1016.566046,0.083679335,0,2.416043782,6590798.436,0.002229194,141171.2109,85870001.4,1.10E-05,2168.3007,0.1,0.085758203,0.000202394,0.000154578,48576625.26,0.000846594,1,98022948.09,1.98594346,1,17.30101848,8045.240293,0.848222913,0.102713188,1234072.004,0.421594795,1012.320683,0.000674602,0.159843364,9.991832154,0.001281804,19564.94314,0.000225079,0.010628082,1006.882331,9993.510659,2621875.347,0.124089242,1001.796108,0.000332696,0.156881188,0.010439415,0.007485023,1106.658566,12591.93955,45394.76373,62171.09263,70897.56509,45032.27419,6366.984755,26.69457433,0.1138869,3.887274326,0.086724453
83,37.32180027,0.000100027,543028.6582,0.000152545,1,222433.5586,11151.88828,1,0.00013079,712.3189694,530193.5499,0.003327867,0,8355263.485,0.000260971,1,13978998.88,1000,0.037467342,0,3.547543521,2010621.304,0.002489533,9275941.478,34181581.29,2.20E-05,1704.290919,0.29199968,0.3162125,0.000100001,0.021435435,1094.323713,0.003214765,1,2805.973596,2.945051326,1,4.76329398,8260.961345,0.872420247,0.097823037,1000.009648,0.036774958,1041486.968,0.079121777,0.676264386,10.82657927,0.031118387,5861695.983,0.999629548,3.594284276,124088.4729,3.984564708,103846.2743,0.003248645,360170.7166,0.000100262,9.449564158,0.010253767,0.000100067,1106.103687,12728.15133,45410.27689,66224.04132,63859.46709,44635.07203,6365.753537,1.165294462,0.15506145,3.66371049,0.087816083
84,37.36767703,0.000100001,47476.61533,0.044921089,1,89597.85239,10.63979426,1,0.001268398,1840.100147,1011.042472,0.0842208,0,22876.98145,0.000932953,1,324077.2538,39597.56861,0.01226998,0,10.28364509,69331.77836,0.999512219,1000.282797,1343806.168,0.000105425,2045.479824,0.112822964,0.007068748,0.002479903,0.011745017,725587.0951,0.000111193,1,18805631.86,4.032984334,1,999.6226315,8185.072489,0.889331658,0.311965006,217963.2826,0.016240032,350784.3747,0.013640265,0.597278378,11.24178202,0.015332696,44130.82333,0.00091747,0.436028158,55282.19646,9426.003138,161918.3017,0.005353733,95787.23344,0.002719461,0.042423084,0.00945389,0.000242102,1107.522378,12582.35111,45442.37591,65750.56816,62409.9479,44821.1701,6367.009531,26.51129059,0.001875265,3.76263435,0.073943593
85,37.49851217,0.000100115,28158864.63,0.025059289,1,1074.41477,3.65298855,1,0.00396714,145.4505608,87986.9493,0.083202643,0,799936.8435,0.160020334,1,44696219.38,10488415.89,0.004341418,0,24.04815154,13567808.65,0.998257589,3534.532017,15792332.53,0.000192656,2067.770618,0.116082447,0.008156575,0.002714779,0.001119552,233560.9161,0.002384606,1,79830713.34,4.417751805,1,498.601901,8288.478399,0.891686083,0.312563769,166228.7082,0.009764843,16278.5632,0.012267309,1.065563511,11.46945416,0.011966962,7449.778838,0.000790592,0.012761079,5703.174895,7044.920718,96064.98737,0.000372945,95741.80701,0.003041794,0.011365595,0.009173507,0.000218762,1108.303258,12554.1051,45526.6862,65787.02995,61908.41568,44788.04749,6368.628412,98.40542696,0.004983905,3.744774881,0.079564167
86,37.5409755,0.000235246,38877.29052,0.000173607,1,2403.99035,19.320455,1,0.000169661,3756.787758,98629202.16,0.000100002,0,1222373.848,0.00055867,1,2171121.51,1000.46781,0.021706802,0,6.798950041,935929.3142,0.002331785,4464534.157,14296076.39,0.005113153,1733.64723,0.309485759,0.315769755,0.006382181,9979.158715,7709.032206,0.000831793,1,605195.6949,25.58554309,1,179.4118895,8463.48132,0.869257127,0.081192982,3300468.256,0.000150763,97549309.59,0.007583312,0.10801651,11.17596981,0.003672265,1127044.697,0.000953334,0.016023424,255769.3678,9581.634273,13623.40821,0.003067152,11174.14467,0.000117529,8.840809447,0.009422085,0.000422,1106.591984,12732.87572,45472.01715,66535.90218,62002.77254,44718.19547,6367.416815,1.21488528,0.151815243,3.716659455,0.086829816
87,37.55313614,0.00013854,12310.57363,0.001426976,1,18222166.48,18.38629992,1,0.000835375,4475.58758,1000.003569,0.060267133,0,2203.753221,0.939240346,1,186949.7764,187990.5896,0.002791612,0,1.183376662,11322.34463,0.002096513,10615.91225,34306564.54,1.44E-05,2123.350262,0.100031163,0.006689728,0.000377808,9975.187553,8982.124904,0.002559967,1,120343.096,1075.761085,1,20.23054535,8538.542216,0.855000129,0.103997443,5690507.237,0.000100442,1006.846188,0.000155457,1.942600338,10.09577377,0.012494235,16765074.2,0.000100206,0.012264134,325774.0523,9976.47687,721017.3411,0.00099633,6156.117777,0.000100092,0.037581941,0.009672077,0.061761358,1107.666803,12601.21264,45531.02423,64715.16756,64384.05712,45542.51185,6372.623929,5.621324676,0.002726992,3.928579083,0.083017811
88,37.5706551,0.000182832,1224.159761,0.038613994,1,10189616.05,25.45351707,1,0.000690177,9945.843701,1089.203705,0.056076833,0,51038.99216,0.000100072,1,6616188.499,1000,0.085730736,0,3.860270874,2812667.662,0.005139822,5330504.815,100000000,1.00E-05,2200.622404,0.1,0.298898297,0.060526419,0.00036429,3303.903317,0.000116793,1,85029087.81,357.5197599,1,67.36736333,8364.40841,0.898263184,0.166805847,7768709.645,0.004170167,1000.009671,0.000636259,9.899024748,11.1916634,0.001890899,40765.23216,0.000134177,0.022397437,2139.472803,10000,76503215.62,0.289754,1272.815689,0.00049309,0.00229228,0.009265845,0.001850911,1106.608521,12614.30943,45429.11642,64636.15147,62742.23572,44943.60449,6368.130285,39.3743729,0.106919175,3.828225925,0.084455979
89,37.61194099,0.000708972,1033.844187,0.001813007,1,1002.154267,2.169510818,1,0.007332353,114.6098832,4672.71163,0.062640812,0,62569.9892,0.02114016,1,5237530.319,145404.3301,0.007816589,0,11.94785738,3413974.241,0.001564647,39096.12729,99688458.39,1.18E-05,2229.465519,0.100000009,0.014768125,0.000100062,131.5600773,2865783.448,0.020805865,1,21014677.04,15.04111148,1,423.1127963,8157.584667,1.024071147,0.287325771,3916294.205,0.001685845,53605.19868,0.02479027,1.71888808,12.74259911,0.305370444,3225.969299,0.000868307,0.074754975,3781.265655,8533.812371,15158.44003,0.001397912,5931.866112,0.000350131,0.188690324,0.00843297,0.000374959,1107.660503,12543.59173,45499.12974,65290.2212,56352.57037,44762.77684,6368.196123,20.17645067,0.006594652,3.965879643,0.064982038
90,37.85691864,0.000102613,23108043.69,0.000116352,1,2897.820564,263.0101688,1,0.003586977,338.1260492,7756774.927,0.002658068,0,20099974.66,0.023617464,1,24734217.76,17529307.52,0.000524876,0,29.37309974,64189.74937,0.01695264,93503.6986,9615420.246,0.003326009,2029.372589,0.100001234,0.017147482,0.001353819,9178.014934,1054.407776,0.004139376,1,220899.7885,11.0657955,1,40.78654142,7772.026809,0.957198091,0.013971355,147764.2793,0.000100668,12547.15982,0.999999986,8.911355822,11.17272476,0.038509411,738345.8021,0.004102316,0.010474002,1051.334049,6800.707091,19687403.39,0.001413658,21402.54998,0.000100002,1.615888589,0.01009922,0.001702049,1108.471445,12547.92632,45474.28717,66054.0377,62705.81979,44661.44702,6367.997878,1,0.106099715,3.866172185,0.066311068
91,38.12526013,0.000167616,4639.653846,0.000167985,1,1055.050044,2634.702418,1,0.000333538,9998.667122,136032.7037,0.002858909,0,765242.5848,0.002705363,1,1663596.814,109620.1924,0.002925717,0,10.82177724,1000.127295,0.145534668,1096.714537,14530313.35,0.020502948,2066.078127,0.1,0.008775625,0.002348771,9796.70927,2483.505007,0.006120828,1,208443.9815,110.6758612,1,15.1449802,7840.512472,0.976006388,0.084312887,5820648.852,0.000101862,65170.21744,0.000856048,0.829199287,11.15152083,0.004579607,1202955.882,0.000603728,0.031930395,1000.672512,9999.913884,9342.293778,0.012522912,1298.56218,0.0001,1.774079796,0.009856454,0.00929567,1107.417469,12580.62595,45494.50248,65970.0647,61571.06419,44857.82579,6366.083197,1.108851249,0.161743479,3.947669534,0.062423666
92,38.17012887,0.000100385,2109.802244,0.039706518,1,1626188.367,13.20280686,1,0.001313658,9499.665209,16589.64795,0.081778713,0,947980.6878,0.00011101,1,8491304.597,17142.06786,0.104477396,0,1.000000017,540094.9792,0.999958362,3440.759598,1933069.729,0.00015377,2060.984948,0.138986486,0.312675356,0.002094959,0.003646789,7098823.037,0.000166225,1,252569.1601,47.21281006,1,999.8688764,8415.858018,0.892008148,0.315737275,2564818.455,0.094194221,1481.019034,0.009362356,0.17687571,11.39165149,0.00161015,1073396.834,0.000493832,0.089113797,777844.8309,9996.202607,418393.424,0.013236805,50992.76482,0.018566007,0.009345273,0.009017746,0.00044347,1107.99385,12539.10098,45405.32724,65996.31853,61585.70537,44930.09532,6366.102986,99.31444501,0.086220526,3.73555561,0.088264556
93,38.2345585,0.000100063,11083.71143,0.000126461,1,1202.397072,66.32707416,1,0.006471994,248.9021511,3811319.176,0.002584341,0,9039063.347,0.024232147,1,11723936.03,6931515.041,0.000542324,0,29.7321339,26945.75086,0.018281267,38721.79131,3604245.127,6.26E-05,2021.192509,0.1,0.316223703,0.038073346,0.04442784,1080434.641,0.005944488,1,375569.0538,25.74160726,1,52.11096673,7904.329755,0.936668568,0.001086284,29914.42917,0.000100158,13186163.31,0.838057699,7.081721868,11.09044928,0.003156278,125973.2895,0.000190046,0.722132465,361062.7952,42.99751236,98920747.62,0.000391463,1959510.568,0.0001,1.525733166,0.010090413,0.000104549,1108.721629,12531.09781,45635.59739,65897.55936,63178.61339,44627.89576,6374.77675,1,0.109309974,3.828329359,0.070573065
94,38.24503378,0.000199268,85652.23897,0.001161845,1,1629.515628,1151.520118,1,0.000457078,1461.195412,22411751.07,0.00086153,0,99989668.83,0.000743916,1,60914392.87,1000.005342,0.007595517,0,28.38143564,158578.7937,4.17E-05,9966218.169,6493278.046,0.000126423,1872.514891,0.214006536,0.316227766,0.011355515,0.057574428,2330332.274,0.000123262,1,14924684.19,252.1297598,1,51.29038275,7872.668959,1.025905059,0.001737116,33982.24761,0.000118973,12557.68977,0.809982788,1.033411283,11.96000524,0.006914828,97418751.63,0.0040531,0.195844165,1231577.341,2458.009234,78497258.61,0.00046767,111853.042,0.0001,8.015161029,0.009352782,0.000546722,1108.188911,12147.41867,45517.13623,69170.59158,58740.77201,44657.19287,6368.104918,1,0.150862184,3.800109106,0.084244204
95,38.32688692,0.000114908,27705422.03,0.005310748,1,1038.282108,4.771673395,1,0.004561955,280.6120393,28574.40856,0.078585344,0,498386.6608,0.003202341,1,4902977.949,74397.06281,0.034879439,0,5.36468035,99784847.97,6.55E-05,46654.11763,23184745.34,1.66E-05,2077.205721,0.103185872,0.002549957,0.001773972,0.026495961,77636.63795,0.000353078,1,12483982.75,199.9398077,1,7.051915343,7831.395911,0.795498179,0.015453292,3958.445136,0.078226835,9490.958185,0.012179992,2.465443191,8.109430012,0.012789668,14156.08788,0.006726214,0.010010519,9755747.471,1787.875034,23608781.35,0.000100331,2119.558609,0.00380177,0.532086206,0.011447131,0.029304495,1108.009082,12546.788,45716.10484,59916.00937,79029.62296,45736.78992,6362.463296,23.91742661,0.06112458,3.961802849,0.089018356
96,38.33947361,0.000158363,1015.834925,0.050666868,1,917246.9789,9.620983061,1,0.001447299,8971.913339,11372.90234,0.085965187,0,546848.7327,0.0001,1,21943314.62,8210.580624,0.110615896,0,1.689424974,1144928.457,1.00E-05,558869.7974,99999949.34,1.12E-05,2185.160292,0.1,0.007027346,0.000100247,0.001165399,143280.6457,0.007219609,1,8580.109097,1.060466515,1,37.77717952,8335.720037,0.94478635,0.15100029,27914926.58,0.148878022,20764776.93,0.011019586,2.009739276,12.08380755,0.001532528,1764.310343,0.000809671,0.025306924,1621.954661,9999.978125,3891.736074,0.000395675,2452.555703,0.000222755,0.023341875,0.008511536,0.000904869,1105.982945,12832.01534,45447.24275,65597.33714,57159.08131,44908.69964,6365.106872,6.915472044,0.046175449,3.54608458,0.092529054
97,38.38902727,0.000100035,119584.0396,0.000139262,1,5145101.065,60.37904088,1,0.000289462,9996.566744,2173.98999,0.064611177,0,2975.433717,0.999819969,1,5305122.053,173701.1885,0.002763052,0,24.24800819,78829116.66,1.09E-05,6320.427442,24854308.23,1.52E-05,2203.502056,0.1,0.231599625,0.000652673,0.005084884,23876790.56,0.002502163,1,999682.7311,17.81032933,1,9.904867814,7639.924733,1.145877955,0.018176017,99910087.66,0.043797251,1000,0.000100368,7.602332916,12.45993309,0.013309907,12167896.59,0.0001,0.097048579,117214.9779,9958.16413,13532817.97,0.000100027,1000.120709,0.000100014,0.038024854,0.008578365,3.760601527,1108.504652,12552.27253,45488.35378,65997.82297,53843.0645,45068.3263,6371.025304,99.9283255,0.00238041,3.993702774,0.061791655
98,38.45160535,0.000203367,2124.010112,0.000172962,1,7582.457068,5.961518843,1,0.003142812,617.8442938,2604847.244,0.080908073,0,99989873.74,0.002824389,1,2666257622,5764.435711,0.093533372,0,4.035528428,959952.8449,0.999995222,3461.275673,7482657.208,0.000145578,2059.788077,0.140434858,0.303092064,0.000106748,1.816172415,135132.0328,0.034424155,1,2844578.675,1.927365203,1,999.8419861,8280.710469,0.916485271,0.315593683,7570842.301,0.023648711,8515.232883,0.009196879,6.89126183,11.61409088,0.012107777,59510.03559,0.000519536,0.026457558,25658.51218,9867.477391,692064.6716,0.003349805,5241.259951,0.006230833,0.009498204,0.008948438,0.004725757,1107.916525,12588.46451,45467.81874,65903.14344,61633.66167,44865.32726,6358.460387,99.00652782,0.088253102,3.760895913,0.090795951
99,38.63286103,0.000128367,2129.532096,0.056135015,1,255774.3738,5.292765224,1,0.002393651,2282.621324,14544.19404,0.101069987,0,75388.4753,0.512204217,1,7676982.312,2613821.284,0.003671344,0,31.76460214,63177.63145,0.488516413,1401.292701,94047851.79,0.000116226,2081.848778,0.116770167,0.001225623,0.003600312,0.019459795,280932.9761,0.003229799,1,283962.9309,3.108925249,1,513.8523062,8170.302758,0.907898357,0.002693794,7785872.724,0.014741645,120969.6433,0.011371196,0.127942809,11.23757543,0.05463074,5510447.892,0.001143661,0.01339093,5979081.868,8923.233138,235778.2609,0.007697214,4364.89489,0.001228566,0.027797475,0.009449014,0.004986239,1108.360449,12539.28375,45546.70771,65871.69367,62064.1483,44862.32322,6371.921694,69.02792364,0.003359843,3.787119507,0.086804174
